"Table 2.--Individual Income and Tax Data, by State and Size of Adjusted Gross Income, Tax Year 1996",,,,,,,,,,,
[Money amounts are in thousands of dollars],,,,,,,,,,,
,,"$20,000 [1]",under,under,under,under,under,or more,,,
,,,"$30,000 ","$50,000 ","$75,000 ","$100,000 ","$200,000 ",,,,
,-1,-2,-3,-4,-5,-6,-7,-8,,,
MISSISSIPPI,,,,,,,,0,,,
Number of returns....................................................................,"1,121,796","619,970","170,274","174,388","98,314","31,153","20,502","7,195",,,
Number of joint returns.........................................................,"422,405","97,402","66,082","118,868","86,634","28,577","18,476","6,366",,,
Number with paid preparer's signature................................,"551,420","277,473","80,226","94,153","57,794","19,586","15,515","6,673",,,
Number of exemptions [3]........................................................,"2,383,944","1,087,877","382,683","452,891","286,635","92,428","60,102","21,328",,,
Adjusted gross income (AGI) [4]..............................................,"31,356,205","5,715,638","4,170,625","6,778,509","5,930,120","2,652,385","2,686,292","3,422,636",,,
Salaries and wages in AGI:  Number...................................,"995,732","539,091","154,480","160,156","90,575","28,095","17,427","5,908",,,
Amount.............................................................................,"24,073,278","5,049,400","3,561,641","5,713,467","4,845,662","2,005,040","1,620,826","1,277,242",,,
Taxable interest:  Number....................................................,"409,627","128,208","60,510","94,458","73,457","27,036","18,987","6,971",,,
Amount.............................................................................,"958,054","199,191","105,840","159,835","146,157","77,106","107,778","162,147",,,
Tax-exempt interest [5]:Number........................................,"20,403","3,261","1,805",,"36,373,877","2,306","3,064","-36,363,910",,,
Amount.............................................................................,"186,032","13,495","8,903","21,443","27,269","19,384","33,831","61,707",,,
Dividends:  Number..............................................................,"144,543","36,039","16,804","29,803","29,137","14,121","12,818","5,821",,,
Amount.............................................................................,"431,439","50,084","26,371","52,223","62,514","44,665","75,683","119,899",,,
Business or profession net income (less loss):,,,,,,,,0,,,
Number............................................................................,"142,229","58,712","20,363","28,000","18,336","7,220","6,608","2,990",,,
Amount.............................................................................,"1,378,277","207,693","120,217","199,078","183,597","123,740","263,846","280,106",,,
Number of farm returns........................................................,"38,641","12,065","5,410",,"89,376,639","2,396","2,096","-89,359,965",,,
Net capital gain (less loss) in AGI:  Number........................,"117,356","29,018","13,264","23,417","22,611","11,587","11,716","5,743",,,
Amount.............................................................................,"1,212,828","63,170","32,694","69,960","98,254","83,573","176,934","688,243",,,
Taxable Individual Retirement Arrangements,,,,,,,,0,,,
distributions [6]:  Number.................................................,"34,946","10,838","5,895",,"79,225,766","2,317","1,735","-79,211,605",,,
Amount.............................................................................,"244,327","40,044","29,597","50,581","50,380","28,098","31,715","13,912",,,
Pensions and annuities in AGI:  Number.............................,"147,218","53,703","24,945","32,271","22,313","7,772","4,884","1,330",,,
Amount.............................................................................,"1,684,735","361,686","266,559","407,721","346,239","154,513","113,742","34,275",,,
Social Security benefits in AGI:  Number.............................,"49,724","1,449","8,993","19,085","11,756","4,082","3,297","1,062",,,
Amount.............................................................................,"330,266","4,907","14,792","90,358","114,406","48,426","42,296","15,081",,,
Total statutory adjustments:  Number..................................,"149,881","56,408","22,228","31,236","19,103","7,985","8,588","4,333",,,
Amount.............................................................................,"277,171","43,022","29,361","49,929","40,854","24,627","48,485","40,893",,,
Self-employment retirement plans [6]:  Number...............,"4,993",165,254,,569889,717,"1,481","-567,513",,,
Amount.........................................................................,"43,643",300,598,,"18,893,734","4,170","16,247","-18,871,406",,,
Total itemized deductions [7]:Number...................................,"194,577","16,018","20,867","51,128","56,911","24,724","18,171","6,758",,,
Amount.................................................................................,"2,729,846","182,411","200,034","535,073","709,476","366,601","378,734","357,517",,,
Medical and dental expense:  Number.................................,"45,568","10,738","9,503","14,709","8,111","1,754",696,57,,,
Amount.............................................................................,"197,402","58,425","38,843","52,710","30,907","8,571","6,721","1,225",,,
Taxes paid:  Number............................................................,"194,788","15,113","20,854","51,651","57,357","24,833","18,216","6,764",,,
Amount.............................................................................,"694,961","15,847","26,739","98,832","169,729","105,539","124,168","154,107",,,
Interest paid:  Number..........................................................,"162,451","10,036","16,019","43,299","51,102","21,822","14,954","5,219",,,
Amount.............................................................................,"924,365","48,781","66,940","195,735","262,188","131,777","123,166","95,778",,,
Contributions:  Number........................................................,"174,306","11,973","17,675","45,025","52,559","23,337","17,248","6,489",,,
Amount.............................................................................,"615,428","23,182","37,277","108,385","150,622","84,874","92,947","118,141",,,
Taxable income:  Number........................................................,"806,990","307,598","168,376","174,004","98,223","31,135","20,474","7,180",,,
Amount.................................................................................,"19,282,121","1,351,220","2,158,086","4,322,040","4,246,737","2,008,293","2,142,857","3,052,888",,,
Total tax credits [8]:Number..................................................,"70,242","14,981","13,093","18,532","13,793","4,563","3,317","1,963",,,
Amount.................................................................................,"34,357","4,976","5,765","7,480","6,163","2,471","2,766","4,736",,,
Child care credit:  Number...................................................,"58,675","12,217","12,252","17,019","11,982","3,383","1,501",321,,,
Amount.............................................................................,"23,593","4,511","5,439","6,610","4,873","1,394",620,146,,,
Earned income credit [9]:Number.........................................,"354,459","306,317","48,142",--,--,--,--,0,,,
Amount.................................................................................,"608,481","572,031","36,451",--,--,--,--,-1,,,
Excess earned income credit (refundable) [10]:,,,,,,,,0,,,
Number............................................................................,"298,712","284,474","14,238",--,--,--,--,0,,,
Amount.............................................................................,"515,468","506,236","9,232",--,--,--,--,0,,,
Income tax [11]:Number........................................................,"800,267","301,596","167,758","173,918","98,209","31,134","20,473","7,179",,,
Amount.................................................................................,"3,791,336","199,408","318,668","668,496","716,238","404,529","506,336","977,661",,,
Total tax liability [12]:Number................................................,"838,775","339,142","168,498","174,077","98,245","31,142","20,484","7,187",,,
Amount.................................................................................,"4,039,312","252,241","345,166","713,431","756,435","427,714","541,931","1,002,394",,,
Tax due at time of filing [13]:Number....................................,"239,709","72,173","38,738","56,492","39,891","16,542","11,654","4,219",,,
Amount.................................................................................,"591,541","37,287","39,805","73,378","83,428","59,316","96,591","201,736",,,
Overpayments [14]:Number..................................................,"840,179","521,549","128,230","113,771","55,353","13,069","6,741","1,466",,,
Amount.................................................................................,"1,224,439","792,168","139,106","130,255","86,181","27,703","27,281","21,745",,,
"Table 2.--Individual Income and Tax Data, by State and Size of Adjusted Gross Income, Tax Year 1996",,,,,,,,0,,,
[Money amounts are in thousands of dollars],,,,,,,,0,,,
,,,,,Size of adjusted gross income,,,0,,,
State and item,All returns,Under,"$20,000 ","$30,000 ","$50,000 ","$75,000 ","$100,000 ","$200,000 ",,,
,,"$20,000 [1]",under,under,under,under,under,or more,,,
,,,"$30,000 ","$50,000 ","$75,000 ","$100,000 ","$200,000 ",,,,
,-1,-2,-3,-4,-5,-6,-7,-8,,,
MISSOURI,,,,,,,,0,,,
Number of returns....................................................................,"2,416,434","1,131,703","361,886","445,203","281,792","101,627","71,320","22,903",,,
Number of joint returns.........................................................,"1,052,518","207,946","146,999","282,819","239,043","91,822","63,720","20,169",,,
Number with paid preparer's signature................................,"1,076,125","434,804","157,528","219,178","145,810","54,327","45,100","19,378",,,
Number of exemptions [3]........................................................,"4,794,823","1,577,915","731,832","1,090,032","809,810","303,889","212,806","68,539",,,
Adjusted gross income (AGI) [4]..............................................,"82,980,916","9,991,299","8,913,462","17,393,956","17,071,755","8,669,495","9,315,830","11,625,119",,,
Salaries and wages in AGI:  Number...................................,"2,060,129","910,347","313,846","402,028","258,552","92,968","62,775","19,613",,,
Amount.............................................................................,"61,961,555","8,162,835","7,119,119","14,307,870","13,986,207","6,863,228","6,395,842","5,126,454",,,
Taxable interest:  Number....................................................,"1,322,852","426,238","185,497","295,239","233,015","92,559","67,785","22,519",,,
Amount.............................................................................,"3,389,532","726,732","377,608","558,664","495,488","267,460","352,952","610,628",,,
Tax-exempt interest [5]:Number........................................,"95,276","14,862","8,956","17,602","18,219","10,960","14,438","10,239",,,
Amount.............................................................................,"905,127","52,393","38,960","100,407","162,085","78,896","158,622","313,764",,,
Dividends:  Number..............................................................,"561,282","144,761","64,977","116,091","111,540","55,098","49,348","19,467",,,
Amount.............................................................................,"1,957,237","212,119","120,387","230,879","266,618","185,938","334,322","606,974",,,
Business or profession net income (less loss):,,,,,,,,0,,,
Number............................................................................,"340,197","121,595","49,151","74,476","50,962","19,680","17,466","6,867",,,
Amount.............................................................................,"3,011,213","361,443","274,969","502,089","485,688","314,592","604,352","468,080",,,
Number of farm returns........................................................,"112,110","44,888","17,847","25,655","14,091","4,495","3,624","1,510",,,
Net capital gain (less loss) in AGI:  Number........................,"469,547","123,365","54,591","94,896","88,686","44,869","43,988","19,152",,,
Amount.............................................................................,"3,774,449","202,206","110,381","234,415","309,712","240,298","495,423","2,182,014",,,
Taxable Individual Retirement Arrangements,,,,,,,,0,,,
distributions [6]:  Number.................................................,"119,920","39,519","21,144","25,827","18,207","7,472","6,018","1,733",,,
Amount.............................................................................,"837,185","137,182","101,506","160,261","159,325","96,399","120,068","62,444",,,
Pensions and annuities in AGI:  Number.............................,"406,664","152,060","69,888","85,374","57,739","21,309","15,786","4,508",,,
Amount.............................................................................,"4,356,401","999,073","737,840","1,027,413","802,784","350,137","319,026","120,128",,,
Social Security benefits in AGI:  Number.............................,"149,279","3,775","29,763","56,231","34,260","11,857","9,971","3,422",,,
Amount.............................................................................,"1,004,281","10,961","49,852","277,241","341,036","140,075","130,266","54,850",,,
Total statutory adjustments:  Number..................................,"373,927","123,050","57,782","85,563","51,455","21,582","22,895","11,600",,,
Amount.............................................................................,"742,745","106,897","80,365","138,954","113,210","71,254","126,838","105,227",,,
Self-employment retirement plans [6]:  Number...............,"17,821",733,833,"2,351","3,803","2,711","4,610","2,780",,,
Amount.........................................................................,"133,329","1,419","2,009","7,352","15,007","15,883","46,485","45,174",,,
Total itemized deductions [7]:Number...................................,"614,218","46,175","54,968","154,977","183,391","86,249","66,325","22,133",,,
Amount.................................................................................,"8,712,243","602,290","506,514","1,540,199","2,157,222","1,273,049","1,371,542","1,261,427",,,
Medical and dental expense:  Number.................................,"94,910","29,634","18,801","26,850","13,984","3,621","1,796",224,,,
Amount.............................................................................,"659,555","300,898","101,537","124,906","72,774","26,396","24,364","8,680",,,
Taxes paid:  Number............................................................,"611,592","42,549","54,611","155,609","184,010","86,342","66,332","22,139",,,
Amount.............................................................................,"3,031,957","71,336","95,629","404,304","702,031","467,260","564,100","727,297",,,
Interest paid:  Number..........................................................,"526,744","28,225","43,794","136,374","167,787","77,611","55,624","17,329",,,
Amount.............................................................................,"3,295,286","150,196","195,228","665,998","931,251","507,825","498,027","346,761",,,
Contributions:  Number........................................................,"533,370","30,788","43,021","129,916","164,189","80,886","63,182","21,388",,,
Amount.............................................................................,"1,418,818","46,240","66,573","209,544","302,033","191,887","234,973","367,568",,,
Taxable income:  Number........................................................,"1,940,217","661,964","356,980","443,981","281,579","101,560","71,262","22,891",,,
Amount.................................................................................,"55,735,941","3,089,307","4,860,089","11,311,680","12,221,607","6,524,565","7,381,542","10,347,151",,,
Total tax credits [8]:Number..................................................,"173,258","23,812","23,311","46,342","41,259","16,564","13,835","8,135",,,
Amount.................................................................................,"83,888","6,211","8,415","17,060","16,588","7,384","7,753","20,477",,,
Child care credit:  Number...................................................,"127,098","15,276","20,017","39,725","33,687","11,448","5,887","1,058",,,
Amount.............................................................................,"49,172","5,190","7,485","14,480","13,898","5,009","2,585",525,,,
Earned income credit [9]:Number.........................................,"391,513","322,820","68,693",--,--,--,--,0,,,
Amount.................................................................................,"567,873","517,663","50,210",--,--,--,--,0,,,
Excess earned income credit (refundable) [10]:,,,,,,,,0,,,
Number............................................................................,"304,197","284,367","19,830",--,--,--,--,0,,,
Amount.............................................................................,"454,592","441,197","13,394",--,--,--,--,1,,,
Income tax [11]:Number........................................................,"1,930,318","653,098","356,120","443,799","281,563","101,565","71,276","22,897",,,
Amount.................................................................................,"11,462,673","463,952","721,969","1,774,852","2,083,506","1,315,059","1,742,951","3,360,384",,,
Total tax liability [12]:Number................................................,"1,998,632","719,313","357,724","444,207","281,618","101,583","71,288","22,899",,,
Amount.................................................................................,"12,032,084","562,450","782,986","1,886,540","2,186,227","1,373,880","1,826,112","3,413,889",,,
Tax due at time of filing [13]:Number....................................,"600,122","184,333","86,437","132,527","100,222","47,895","35,494","13,214",,,
Amount.................................................................................,"1,504,887","83,667","76,808","171,375","198,734","148,120","234,752","591,431",,,
Overpayments [14]:Number..................................................,"1,694,855","872,636","265,305","300,129","172,420","49,181","29,708","5,476",,,
Amount.................................................................................,"2,106,518","887,570","265,897","375,509","292,485","109,051","109,223","66,783",,,
"Table 2.--Individual Income and Tax Data, by State and Size of Adjusted Gross Income, Tax Year 1996",,,,,,,,0,,,
[Money amounts are in thousands of dollars],,,,,,,,0,,,
,,,,,Size of adjusted gross income,,,0,,,
State and item,All returns,Under,"$20,000 ","$30,000 ","$50,000 ","$75,000 ","$100,000 ","$200,000 ",,,
,,"$20,000 [1]",under,under,under,under,under,or more,,,
,,,"$30,000 ","$50,000 ","$75,000 ","$100,000 ","$200,000 ",,,,
,-1,-2,-3,-4,-5,-6,-7,-8,,,
MONTANA,,,,,,,,0,,,
Number of returns....................................................................,"400,488","211,280","57,789","71,141","39,087","10,894","7,840","2,457",,,
Number of joint returns.........................................................,"181,791","47,274","29,820","51,415","34,471","9,801","6,885","2,125",,,
Number with paid preparer's signature................................,"210,511","95,350","31,201","42,733","25,001","7,583","6,366","2,277",,,
Number of exemptions [3]........................................................,"797,794","300,654","129,891","189,508","115,719","32,149","22,766","7,107",,,
Adjusted gross income (AGI) [4]..............................................,"11,169,065","1,611,574","1,425,882","2,770,207","2,347,165","926,664","1,036,855","1,050,718",,,
Salaries and wages in AGI:  Number...................................,"320,972","160,001","47,882","61,931","34,136","9,042","6,061","1,919",,,
Amount.............................................................................,"7,595,420","1,347,383","1,037,568","2,088,122","1,715,706","584,434","495,406","326,801",,,
Taxable interest:  Number....................................................,"244,472","98,590","36,288","54,392","34,849","10,338","7,592","2,423",,,
Amount.............................................................................,"599,567","137,634","68,854","105,433","90,289","45,539","62,946","88,872",,,
Tax-exempt interest [5]:Number........................................,"20,324","4,336","2,423",,"43,133,957","1,977","2,194","-43,124,563",,,
Amount.............................................................................,"146,425","16,162","10,436","23,581","25,076","14,691","22,746","33,733",,,
Dividends:  Number..............................................................,"105,092","36,523","13,961","22,365","17,841","6,659","5,651","2,092",,,
Amount.............................................................................,"291,821","50,769","26,033","44,764","46,199","28,660","43,355","52,041",,,
Business or profession net income (less loss):,,,,,,,,0,,,
Number............................................................................,"76,802","30,923","12,276","17,297","9,578","3,026","2,744",958,,,
Amount.............................................................................,"592,297","75,965","65,440","117,490","97,246","56,673","103,043","76,440",,,
Number of farm returns........................................................,"24,391","11,330","3,748",,"46,942,660",883,788,"-46,935,018",,,
Net capital gain (less loss) in AGI:  Number........................,"96,468","34,178","12,767","20,044","15,686","6,152","5,539","2,102",,,
Amount.............................................................................,"643,314","78,065","38,395","77,314","85,467","60,608","108,445","195,020",,,
Taxable Individual Retirement Arrangements,,,,,,,,0,,,
distributions [6]:  Number.................................................,"18,704","6,826","3,473","4,110","2,604",874,660,157,,,
Amount.............................................................................,"119,308","24,278","15,976","25,549","22,802","10,982","13,560","6,161",,,
Pensions and annuities in AGI:  Number.............................,"65,153","26,124","11,665","14,008","8,527","2,606","1,803",420,,,
Amount.............................................................................,"743,948","178,931","133,482","189,489","139,475","49,979","40,736","11,856",,,
Social Security benefits in AGI:  Number.............................,"25,189",810,"5,107","9,732","5,634","1,884","1,605",417,,,
Amount.............................................................................,"164,970","2,429","9,159","48,889","56,256","22,437","20,290","5,510",,,
Total statutory adjustments:  Number..................................,"83,893","31,458","14,339","19,719","9,809","3,521","3,667","1,380",,,
Amount.............................................................................,"167,859","30,092","21,911","36,657","26,504","14,808","24,833","13,054",,,
Self-employment retirement plans [6]:  Number...............,"4,060",234,286,788,983,575,844,350,,,
Amount.........................................................................,"28,811",379,689,"2,606","4,506","3,905","10,414","6,312",,,
Total itemized deductions [7]:Number...................................,"107,580","15,364","13,729","31,799","27,720","9,346","7,256","2,366",,,
Amount.................................................................................,"1,457,442","177,823","131,277","327,802","387,732","143,360","157,188","132,260",,,
Medical and dental expense:  Number.................................,"31,484","11,770","6,549","8,376","3,699",766,295,29,,,
Amount.............................................................................,"147,176","64,032","28,327","31,456","15,260","4,464","3,062",575,,,
Taxes paid:  Number............................................................,"107,100","14,796","13,692","31,860","27,771","9,355","7,261","2,365",,,
Amount.............................................................................,"571,227","48,978","29,522","98,014","176,377","60,907","76,145","81,284",,,
Interest paid:  Number..........................................................,"86,260","9,346","10,513","27,007","24,419","7,741","5,510","1,724",,,
Amount.............................................................................,"484,493","44,325","47,605","133,266","132,918","49,728","48,130","28,521",,,
Contributions:  Number........................................................,"90,784","10,095","10,880","26,710","25,190","8,795","6,859","2,255",,,
Amount.............................................................................,"182,292","11,489","13,160","34,329","39,577","19,648","26,423","37,666",,,
Taxable income:  Number........................................................,"303,983","116,531","56,405","70,839","39,035","10,886","7,833","2,454",,,
Amount.................................................................................,"6,995,295","498,975","717,348","1,714,779","1,640,155","691,121","819,248","913,669",,,
Total tax credits [8]:Number..................................................,"27,167","4,390","4,388","8,654","5,633","1,703","1,618",781,,,
Amount.................................................................................,"13,474",964,"1,442","3,262","2,330",897,"1,433","3,146",,,
Child care credit:  Number...................................................,"17,855","2,288","3,281","6,795","4,019",913,468,91,,,
Amount.............................................................................,"5,708",651,974,"2,211","1,357",315,164,36,,,
Earned income credit [9]:Number.........................................,"67,001","55,948","11,053",--,--,--,--,0,,,
Amount.................................................................................,"91,715","83,493","8,223",--,--,--,--,-1,,,
Excess earned income credit (refundable) [10]:,,,,,,,,0,,,
Number............................................................................,"51,094","47,689","3,405",--,--,--,--,0,,,
Amount.............................................................................,"71,051","68,712","2,339",--,--,--,--,0,,,
Income tax [11]:Number........................................................,"302,151","115,034","56,144","70,769","39,024","10,889","7,835","2,456",,,
Amount.................................................................................,"1,344,177","74,523","106,545","264,875","274,636","139,117","194,057","290,424",,,
Total tax liability [12]:Number................................................,"319,983","132,114","56,758","70,876","39,050","10,892","7,836","2,457",,,
Amount.................................................................................,"1,468,858","99,477","122,565","292,624","296,836","150,412","209,359","297,585",,,
Tax due at time of filing [13]:Number....................................,"117,430","42,483","18,625","27,675","17,043","5,995","4,314","1,295",,,
Amount.................................................................................,"227,033","19,668","19,862","42,999","42,772","25,476","39,286","36,970",,,
Overpayments [14]:Number..................................................,"250,676","147,069","36,632","40,348","19,934","3,884","2,291",518,,,
Amount.................................................................................,"272,173","134,543","34,880","44,875","31,317","9,346","10,378","6,834",,,
"Table 2.--Individual Income and Tax Data, by State and Size of Adjusted Gross Income, Tax Year 1996",,,,,,,,0,,,
[Money amounts are in thousands of dollars],,,,,,,,0,,,
,,,,,Size of adjusted gross income,,,0,,,
State and item,All returns,Under,"$20,000 ","$30,000 ","$50,000 ","$75,000 ","$100,000 ","$200,000 ",,,
,,"$20,000 [1]",under,under,under,under,under,or more,,,
,,,"$30,000 ","$50,000 ","$75,000 ","$100,000 ","$200,000 ",,,,
,-1,-2,-3,-4,-5,-6,-7,-8,,,
NEBRASKA,,,,,,,,0,,,
Number of returns....................................................................,"775,462","364,955","117,790","146,246","90,671","29,548","19,803","6,449",,,
Number of joint returns.........................................................,"347,375","64,406","49,672","102,324","80,125","27,111","17,944","5,793",,,
Number with paid preparer's signature................................,"363,953","148,779","53,959","75,367","49,147","17,154","13,840","5,707",,,
Number of exemptions [3]........................................................,"1,536,219","458,058","243,620","386,000","275,741","91,919","60,939","19,942",,,
Adjusted gross income (AGI) [4]..............................................,"25,569,344","2,990,294","2,897,388","5,725,306","5,469,585","2,516,883","2,590,855","3,379,033",,,
Salaries and wages in AGI:  Number...................................,"656,954","291,609","102,164","131,467","82,439","26,554","17,209","5,512",,,
Amount.............................................................................,"18,595,430","2,573,512","2,290,489","4,590,647","4,316,063","1,873,118","1,620,263","1,331,338",,,
Taxable interest:  Number....................................................,"476,384","169,515","67,923","106,186","79,238","27,883","19,250","6,389",,,
Amount.............................................................................,"1,165,388","256,760","135,844","207,128","180,984","90,772","112,050","181,850",,,
Tax-exempt interest [5]:Number........................................,"38,494","7,140","4,183","7,894","7,676","4,125","4,536","2,940",,,
Amount.............................................................................,"287,804","22,890","16,586","41,011","42,396","27,766","42,581","94,574",,,
Dividends:  Number..............................................................,"199,767","56,197","23,848","42,946","39,794","17,410","14,053","5,519",,,
Amount.............................................................................,"533,258","64,791","35,868","67,895","76,592","50,191","78,836","159,085",,,
Business or profession net income (less loss):,,,,,,,,0,,,
Number............................................................................,"116,841","38,603","17,788","28,470","18,269","6,415","5,303","1,993",,,
Amount.............................................................................,"883,090","95,403","85,366","177,033","156,767","94,934","157,424","116,163",,,
Number of farm returns........................................................,"57,373","24,564","9,661","12,227","6,646","1,990","1,723",562,,,
Net capital gain (less loss) in AGI:  Number........................,"177,732","52,436","21,643","37,057","33,334","14,934","12,888","5,440",,,
Amount.............................................................................,"1,279,873","98,056","50,191","97,650","121,528","86,235","161,495","664,718",,,
Taxable Individual Retirement Arrangements,,,,,,,,0,,,
distributions [6]:  Number.................................................,"40,879","14,613","7,217","8,646","6,001","2,181","1,667",554,,,
Amount.............................................................................,"241,279","48,375","31,228","47,033","43,358","22,689","29,049","19,547",,,
Pensions and annuities in AGI:  Number.............................,"109,945","39,261","18,487","23,807","16,888","5,951","4,265","1,286",,,
Amount.............................................................................,"1,072,929","216,692","166,609","248,747","220,484","99,287","86,353","34,757",,,
Social Security benefits in AGI:  Number.............................,"50,554","1,428","10,333","19,044","11,602","3,973","3,103","1,071",,,
Amount.............................................................................,"349,563","3,995","18,578","99,327","119,868","49,558","41,838","16,399",,,
Total statutory adjustments:  Number..................................,"150,081","47,568","24,898","37,989","20,760","7,810","7,745","3,311",,,
Amount.............................................................................,"299,412","44,186","37,880","67,880","51,123","28,203","43,537","26,603",,,
Self-employment retirement plans [6]:  Number...............,"7,719",316,450,"1,389","1,983","1,171","1,662",748,,,
Amount.........................................................................,"49,382",539,"1,036","4,301","8,093","6,963","16,757","11,693",,,
Total itemized deductions [7]:Number...................................,"191,109","15,881","17,377","49,052","58,839","25,400","18,322","6,238",,,
Amount.................................................................................,"2,809,512","226,124","167,344","499,797","709,872","398,057","408,082","400,236",,,
Medical and dental expense:  Number.................................,"34,969","11,657","6,915","9,733","4,926","1,165",507,66,,,
Amount.............................................................................,"284,569","142,111","43,764","52,824","27,868","9,288","6,788","1,926",,,
Taxes paid:  Number............................................................,"189,083","14,008","17,082","49,113","58,929","25,397","18,316","6,238",,,
Amount.............................................................................,"1,100,655","28,186","40,810","161,946","278,394","172,435","195,524","223,360",,,
Interest paid:  Number..........................................................,"154,911","7,514","12,500","41,334","52,258","22,013","14,599","4,693",,,
Amount.............................................................................,"861,748","31,905","48,969","184,022","262,688","130,535","118,545","85,084",,,
Contributions:  Number........................................................,"173,185","11,279","14,316","43,680","55,425","24,570","17,799","6,116",,,
Amount.............................................................................,"476,490","15,798","21,093","63,277","98,829","60,970","73,339","143,184",,,
Taxable income:  Number........................................................,"634,371","226,512","115,679","145,804","90,611","29,528","19,795","6,442",,,
Amount.................................................................................,"16,927,130","1,030,964","1,564,110","3,637,432","3,848,654","1,858,030","2,020,359","2,967,581",,,
Total tax credits [8]:Number..................................................,"68,620","8,885","9,492","21,304","16,755","5,581","4,327","2,276",,,
Amount.................................................................................,"31,732","2,214","3,372","8,294","7,078","2,509","2,681","5,584",,,
Child care credit:  Number...................................................,"51,136","5,494","8,009","18,406","13,621","3,597","1,688",321,,,
Amount.............................................................................,"19,472","1,844","2,861","6,968","5,575","1,434",645,145,,,
Earned income credit [9]:Number.........................................,"98,577","78,466","20,111",--,--,--,--,0,,,
Amount.................................................................................,"136,999","122,263","14,735",--,--,--,--,1,,,
Excess earned income credit (refundable) [10]:,,,,,,,,0,,,
Number............................................................................,"73,467","67,474","5,993",--,--,--,--,0,,,
Amount.............................................................................,"105,397","101,363","4,034",--,--,--,--,0,,,
Income tax [11]:Number........................................................,"630,188","223,069","115,130","145,623","90,593","29,529","19,798","6,446",,,
Amount.................................................................................,"3,399,413","153,765","231,732","562,516","642,810","370,363","474,130","964,097",,,
Total tax liability [12]:Number................................................,"653,581","245,414","115,989","145,774","90,617","29,540","19,800","6,447",,,
Amount.................................................................................,"3,619,235","188,982","257,816","613,805","686,636","392,552","501,728","977,716",,,
Tax due at time of filing [13]:Number....................................,"222,543","73,355","32,066","52,059","36,144","14,538","10,483","3,898",,,
Amount.................................................................................,"598,734","34,230","35,169","86,608","95,013","60,968","91,045","195,701",,,
Overpayments [14]:Number..................................................,"507,949","262,890","81,731","89,406","51,305","13,550","7,548","1,519",,,
Amount.................................................................................,"548,783","224,232","75,042","96,873","76,291","28,201","28,526","19,618",,,
"Table 2.--Individual Income and Tax Data, by State and Size of Adjusted Gross Income, Tax Year 1996",,,,,,,,0,,,
[Money amounts are in thousands of dollars],,,,,,,,0,,,
,,,,,Size of adjusted gross income,,,0,,,
State and item,All returns,Under,"$20,000 ","$30,000 ","$50,000 ","$75,000 ","$100,000 ","$200,000 ",,,
,,"$20,000 [1]",under,under,under,under,under,or more,,,
,,,"$30,000 ","$50,000 ","$75,000 ","$100,000 ","$200,000 ",,,,
,-1,-2,-3,-4,-5,-6,-7,-8,,,
NEVADA,,,,,,,,0,,,
Number of returns....................................................................,"800,491","336,591","135,070","158,644","97,907","36,692","25,390","10,197",,,
Number of joint returns.........................................................,"309,728","50,654","40,430","81,537","76,310","31,628","21,204","7,965",,,
Number with paid preparer's signature................................,"379,505","137,277","58,690","79,058","55,034","22,392","17,995","9,059",,,
Number of exemptions [3]........................................................,"1,569,090","490,062","256,332","358,292","264,561","103,489","69,613","26,741",,,
Adjusted gross income (AGI) [4]..............................................,"32,413,136","2,806,009","3,317,020","6,189,013","5,940,341","3,132,943","3,321,948","7,705,862",,,
Salaries and wages in AGI:  Number...................................,"694,049","278,928","120,376","143,742","89,160","32,871","21,259","7,713",,,
Amount.............................................................................,"22,204,574","2,856,363","2,764,373","5,133,842","4,788,000","2,396,893","2,104,893","2,160,210",,,
Taxable interest:  Number....................................................,"366,929","96,845","52,160","85,091","69,264","30,586","23,110","9,873",,,
Amount.............................................................................,"1,373,365","200,695","81,060","135,243","144,175","93,855","161,266","557,071",,,
Tax-exempt interest [5]:Number........................................,"24,241","3,860","2,235","4,276","4,458","2,660","3,523","3,229",,,
Amount.............................................................................,"428,777","35,237","18,772","34,078","39,417","27,184","62,061","212,028",,,
Dividends:  Number..............................................................,"149,687","34,656","17,248","30,597","29,081","15,601","14,659","7,845",,,
Amount.............................................................................,"747,456","68,033","33,764","63,974","72,907","55,283","94,548","358,947",,,
Business or profession net income (less loss):,,,,,,,,0,,,
Number............................................................................,"98,287","31,737","12,577","20,780","16,327","7,256","6,545","3,065",,,
Amount.............................................................................,"1,101,117","56,129","72,409","138,904","152,136","116,194","232,978","332,367",,,
Number of farm returns........................................................,"4,191","1,223",447,834,716,339,361,271,,,
Net capital gain (less loss) in AGI:  Number........................,"129,460","29,660","14,077","25,122","24,529","13,488","14,296","8,288",,,
Amount.............................................................................,"2,979,249","99,639","22,404","58,375","97,262","90,683","230,412","2,380,474",,,
Taxable Individual Retirement Arrangements,,,,,,,,0,,,
distributions [6]:  Number.................................................,"35,011","9,292","5,597","8,021","6,345","2,783","2,223",750,,,
Amount.............................................................................,"330,639","40,346","30,065","56,790","63,952","40,704","57,338","41,444",,,
Pensions and annuities in AGI:  Number.............................,"134,379","39,099","21,843","30,632","24,115","9,925","6,824","1,941",,,
Amount.............................................................................,"1,889,656","294,201","262,727","446,673","423,360","210,931","183,559","68,205",,,
Social Security benefits in AGI:  Number.............................,"51,420","1,335","8,708","18,413","12,438","4,738","3,980","1,808",,,
