"Table 2.--Individual Income and Tax Data, by State and Size of Adjusted Gross Income, Tax Year 1996",,,,,,,
[Money amounts are in thousands of dollars],,,,,,,
Amount.............................................................................,"3,774,449","202,206","110,381","234,415","309,712","240,298","495,423"
Taxable Individual Retirement Arrangements,,,,,,,
distributions [6]:  Number.................................................,"119,920","39,519","21,144","25,827","18,207","7,472","6,018"
Amount.............................................................................,"837,185","137,182","101,506","160,261","159,325","96,399","120,068"
Pensions and annuities in AGI:  Number.............................,"406,664","152,060","69,888","85,374","57,739","21,309","15,786"
Amount.............................................................................,"4,356,401","999,073","737,840","1,027,413","802,784","350,137","319,026"
Social Security benefits in AGI:  Number.............................,"149,279","3,775","29,763","56,231","34,260","11,857","9,971"
Amount.............................................................................,"1,004,281","10,961","49,852","277,241","341,036","140,075","130,266"
Total statutory adjustments:  Number..................................,"373,927","123,050","57,782","85,563","51,455","21,582","22,895"
Amount.............................................................................,"742,745","106,897","80,365","138,954","113,210","71,254","126,838"
Self-employment retirement plans [6]:  Number...............,"17,821",733,833,"2,351","3,803","2,711","4,610"
Amount.........................................................................,"133,329","1,419","2,009","7,352","15,007","15,883","46,485"
Total itemized deductions [7]:Number...................................,"614,218","46,175","54,968","154,977","183,391","86,249","66,325"
Amount.................................................................................,"8,712,243","602,290","506,514","1,540,199","2,157,222","1,273,049","1,371,542"
Medical and dental expense:  Number.................................,"94,910","29,634","18,801","26,850","13,984","3,621","1,796"
Amount.............................................................................,"659,555","300,898","101,537","124,906","72,774","26,396","24,364"
Taxes paid:  Number............................................................,"611,592","42,549","54,611","155,609","184,010","86,342","66,332"
Amount.............................................................................,"3,031,957","71,336","95,629","404,304","702,031","467,260","564,100"
Interest paid:  Number..........................................................,"526,744","28,225","43,794","136,374","167,787","77,611","55,624"
Amount.............................................................................,"3,295,286","150,196","195,228","665,998","931,251","507,825","498,027"
Contributions:  Number........................................................,"533,370","30,788","43,021","129,916","164,189","80,886","63,182"
Amount.............................................................................,"1,418,818","46,240","66,573","209,544","302,033","191,887","234,973"
Taxable income:  Number........................................................,"1,940,217","661,964","356,980","443,981","281,579","101,560","71,262"
Amount.................................................................................,"55,735,941","3,089,307","4,860,089","11,311,680","12,221,607","6,524,565","7,381,542"
Total tax credits [8]:Number..................................................,"173,258","23,812","23,311","46,342","41,259","16,564","13,835"
Amount.................................................................................,"83,888","6,211","8,415","17,060","16,588","7,384","7,753"
Child care credit:  Number...................................................,"127,098","15,276","20,017","39,725","33,687","11,448","5,887"
Amount.............................................................................,"49,172","5,190","7,485","14,480","13,898","5,009","2,585"
Earned income credit [9]:Number.........................................,"391,513","322,820","68,693",--,--,--,--
Amount.................................................................................,"567,873","517,663","50,210",--,--,--,--
Number............................................................................,"304,197","284,367","19,830",--,--,--,--
Amount.............................................................................,"454,592","441,197","13,394",--,--,--,--
Income tax [11]:Number........................................................,"1,930,318","653,098","356,120","443,799","281,563","101,565","71,276"
Amount.................................................................................,"11,462,673","463,952","721,969","1,774,852","2,083,506","1,315,059","1,742,951"
Total tax liability [12]:Number................................................,"1,998,632","719,313","357,724","444,207","281,618","101,583","71,288"
Amount.................................................................................,"12,032,084","562,450","782,986","1,886,540","2,186,227","1,373,880","1,826,112"
Tax due at time of filing [13]:Number....................................,"600,122","184,333","86,437","132,527","100,222","47,895","35,494"
Amount.................................................................................,"1,504,887","83,667","76,808","171,375","198,734","148,120","234,752"
Overpayments [14]:Number..................................................,"1,694,855","872,636","265,305","300,129","172,420","49,181","29,708"
Amount.................................................................................,"2,106,518","887,570","265,897","375,509","292,485","109,051","109,223"
"Table 2.--Individual Income and Tax Data, by State and Size of Adjusted Gross Income, Tax Year 1996",,,,,,,
[Money amounts are in thousands of dollars],,,,,,,
,,,,,Size of adjusted gross income,,
State and item,All returns,Under,"$20,000 ","$30,000 ","$50,000 ","$75,000 ","$100,000 "
,,"$20,000 [1]",under,under,under,under,under
,,,"$30,000 ","$50,000 ","$75,000 ","$100,000 ","$200,000 "
,-1,-2,-3,-4,-5,-6,-7
MONTANA,,,,,,,
Number of returns....................................................................,"400,488","211,280","57,789","71,141","39,087","10,894","7,840"
Number of joint returns.........................................................,"181,791","47,274","29,820","51,415","34,471","9,801","6,885"
Number with paid preparer's signature................................,"210,511","95,350","31,201","42,733","25,001","7,583","6,366"
Number of exemptions [3]........................................................,"797,794","300,654","129,891","189,508","115,719","32,149","22,766"
Adjusted gross income (AGI) [4]..............................................,"11,169,065","1,611,574","1,425,882","2,770,207","2,347,165","926,664","1,036,855"
Salaries and wages in AGI:  Number...................................,"320,972","160,001","47,882","61,931","34,136","9,042","6,061"
Amount.............................................................................,"7,595,420","1,347,383","1,037,568","2,088,122","1,715,706","584,434","495,406"
Taxable interest:  Number....................................................,"244,472","98,590","36,288","54,392","34,849","10,338","7,592"
Amount.............................................................................,"599,567","137,634","68,854","105,433","90,289","45,539","62,946"
Tax-exempt interest [5]:Number........................................,"20,324","4,336","2,423",,"43,133,957","1,977","2,194"
Amount.............................................................................,"146,425","16,162","10,436","23,581","25,076","14,691","22,746"
Dividends:  Number..............................................................,"105,092","36,523","13,961","22,365","17,841","6,659","5,651"
Amount.............................................................................,"291,821","50,769","26,033","44,764","46,199","28,660","43,355"
Business or profession net income (less loss):,,,,,,,
Number............................................................................,"76,802","30,923","12,276","17,297","9,578","3,026","2,744"
Amount.............................................................................,"592,297","75,965","65,440","117,490","97,246","56,673","103,043"
Number of farm returns........................................................,"24,391","11,330","3,748",,"46,942,660",883,788
Net capital gain (less loss) in AGI:  Number........................,"96,468","34,178","12,767","20,044","15,686","6,152","5,539"
Amount.............................................................................,"643,314","78,065","38,395","77,314","85,467","60,608","108,445"
Taxable Individual Retirement Arrangements,,,,,,,
distributions [6]:  Number.................................................,"18,704","6,826","3,473","4,110","2,604",874,660
Amount.............................................................................,"119,308","24,278","15,976","25,549","22,802","10,982","13,560"
Pensions and annuities in AGI:  Number.............................,"65,153","26,124","11,665","14,008","8,527","2,606","1,803"
Amount.............................................................................,"743,948","178,931","133,482","189,489","139,475","49,979","40,736"
Social Security benefits in AGI:  Number.............................,"25,189",810,"5,107","9,732","5,634","1,884","1,605"
Amount.............................................................................,"164,970","2,429","9,159","48,889","56,256","22,437","20,290"
Total statutory adjustments:  Number..................................,"83,893","31,458","14,339","19,719","9,809","3,521","3,667"
Amount.............................................................................,"167,859","30,092","21,911","36,657","26,504","14,808","24,833"
Self-employment retirement plans [6]:  Number...............,"4,060",234,286,788,983,575,844
Amount.........................................................................,"28,811",379,689,"2,606","4,506","3,905","10,414"
Total itemized deductions [7]:Number...................................,"107,580","15,364","13,729","31,799","27,720","9,346","7,256"
Amount.................................................................................,"1,457,442","177,823","131,277","327,802","387,732","143,360","157,188"
Medical and dental expense:  Number.................................,"31,484","11,770","6,549","8,376","3,699",766,295
Amount.............................................................................,"147,176","64,032","28,327","31,456","15,260","4,464","3,062"
Taxes paid:  Number............................................................,"107,100","14,796","13,692","31,860","27,771","9,355","7,261"
Amount.............................................................................,"571,227","48,978","29,522","98,014","176,377","60,907","76,145"
Interest paid:  Number..........................................................,"86,260","9,346","10,513","27,007","24,419","7,741","5,510"
Amount.............................................................................,"484,493","44,325","47,605","133,266","132,918","49,728","48,130"
Contributions:  Number........................................................,"90,784","10,095","10,880","26,710","25,190","8,795","6,859"
Amount.............................................................................,"182,292","11,489","13,160","34,329","39,577","19,648","26,423"
Taxable income:  Number........................................................,"303,983","116,531","56,405","70,839","39,035","10,886","7,833"
Amount.................................................................................,"6,995,295","498,975","717,348","1,714,779","1,640,155","691,121","819,248"
Total tax credits [8]:Number..................................................,"27,167","4,390","4,388","8,654","5,633","1,703","1,618"
Amount.................................................................................,"13,474",964,"1,442","3,262","2,330",897,"1,433"
Child care credit:  Number...................................................,"17,855","2,288","3,281","6,795","4,019",913,468
Amount.............................................................................,"5,708",651,974,"2,211","1,357",315,164
Earned income credit [9]:Number.........................................,"67,001","55,948","11,053",--,--,--,--
Amount.................................................................................,"91,715","83,493","8,223",--,--,--,--
Excess earned income credit (refundable) [10]:,,,,,,,
Number............................................................................,"51,094","47,689","3,405",--,--,--,--
Amount.............................................................................,"71,051","68,712","2,339",--,--,--,--
Income tax [11]:Number........................................................,"302,151","115,034","56,144","70,769","39,024","10,889","7,835"
Amount.................................................................................,"1,344,177","74,523","106,545","264,875","274,636","139,117","194,057"
Total tax liability [12]:Number................................................,"319,983","132,114","56,758","70,876","39,050","10,892","7,836"
Amount.................................................................................,"1,468,858","99,477","122,565","292,624","296,836","150,412","209,359"
Tax due at time of filing [13]:Number....................................,"117,430","42,483","18,625","27,675","17,043","5,995","4,314"
Amount.................................................................................,"227,033","19,668","19,862","42,999","42,772","25,476","39,286"
Overpayments [14]:Number..................................................,"250,676","147,069","36,632","40,348","19,934","3,884","2,291"
Amount.................................................................................,"272,173","134,543","34,880","44,875","31,317","9,346","10,378"
"Table 2.--Individual Income and Tax Data, by State and Size of Adjusted Gross Income, Tax Year 1996",,,,,,,
[Money amounts are in thousands of dollars],,,,,,,
,,,,,Size of adjusted gross income,,
State and item,All returns,Under,"$20,000 ","$30,000 ","$50,000 ","$75,000 ","$100,000 "
,,"$20,000 [1]",under,under,under,under,under
,,,"$30,000 ","$50,000 ","$75,000 ","$100,000 ","$200,000 "
,-1,-2,-3,-4,-5,-6,-7
NEBRASKA,,,,,,,
Number of returns....................................................................,"775,462","364,955","117,790","146,246","90,671","29,548","19,803"
Number of joint returns.........................................................,"347,375","64,406","49,672","102,324","80,125","27,111","17,944"
Number with paid preparer's signature................................,"363,953","148,779","53,959","75,367","49,147","17,154","13,840"
Number of exemptions [3]........................................................,"1,536,219","458,058","243,620","386,000","275,741","91,919","60,939"
Adjusted gross income (AGI) [4]..............................................,"25,569,344","2,990,294","2,897,388","5,725,306","5,469,585","2,516,883","2,590,855"
Salaries and wages in AGI:  Number...................................,"656,954","291,609","102,164","131,467","82,439","26,554","17,209"
Amount.............................................................................,"18,595,430","2,573,512","2,290,489","4,590,647","4,316,063","1,873,118","1,620,263"
Taxable interest:  Number....................................................,"476,384","169,515","67,923","106,186","79,238","27,883","19,250"
Amount.............................................................................,"1,165,388","256,760","135,844","207,128","180,984","90,772","112,050"
Tax-exempt interest [5]:Number........................................,"38,494","7,140","4,183","7,894","7,676","4,125","4,536"
Amount.............................................................................,"287,804","22,890","16,586","41,011","42,396","27,766","42,581"
Dividends:  Number..............................................................,"199,767","56,197","23,848","42,946","39,794","17,410","14,053"
Amount.............................................................................,"533,258","64,791","35,868","67,895","76,592","50,191","78,836"
Business or profession net income (less loss):,,,,,,,
Number............................................................................,"116,841","38,603","17,788","28,470","18,269","6,415","5,303"
Amount.............................................................................,"883,090","95,403","85,366","177,033","156,767","94,934","157,424"
Number of farm returns........................................................,"57,373","24,564","9,661","12,227","6,646","1,990","1,723"
Net capital gain (less loss) in AGI:  Number........................,"177,732","52,436","21,643","37,057","33,334","14,934","12,888"
Amount.............................................................................,"1,279,873","98,056","50,191","97,650","121,528","86,235","161,495"
Taxable Individual Retirement Arrangements,,,,,,,
distributions [6]:  Number.................................................,"40,879","14,613","7,217","8,646","6,001","2,181","1,667"
Amount.............................................................................,"241,279","48,375","31,228","47,033","43,358","22,689","29,049"
Pensions and annuities in AGI:  Number.............................,"109,945","39,261","18,487","23,807","16,888","5,951","4,265"
Amount.............................................................................,"1,072,929","216,692","166,609","248,747","220,484","99,287","86,353"
Social Security benefits in AGI:  Number.............................,"50,554","1,428","10,333","19,044","11,602","3,973","3,103"
Amount.............................................................................,"349,563","3,995","18,578","99,327","119,868","49,558","41,838"
Total statutory adjustments:  Number..................................,"150,081","47,568","24,898","37,989","20,760","7,810","7,745"
Amount.............................................................................,"299,412","44,186","37,880","67,880","51,123","28,203","43,537"
Self-employment retirement plans [6]:  Number...............,"7,719",316,450,"1,389","1,983","1,171","1,662"
Amount.........................................................................,"49,382",539,"1,036","4,301","8,093","6,963","16,757"
Total itemized deductions [7]:Number...................................,"191,109","15,881","17,377","49,052","58,839","25,400","18,322"
Amount.................................................................................,"2,809,512","226,124","167,344","499,797","709,872","398,057","408,082"
Medical and dental expense:  Number.................................,"34,969","11,657","6,915","9,733","4,926","1,165",507
Amount.............................................................................,"284,569","142,111","43,764","52,824","27,868","9,288","6,788"
Taxes paid:  Number............................................................,"189,083","14,008","17,082","49,113","58,929","25,397","18,316"
Amount.............................................................................,"1,100,655","28,186","40,810","161,946","278,394","172,435","195,524"
Interest paid:  Number..........................................................,"154,911","7,514","12,500","41,334","52,258","22,013","14,599"
Amount.............................................................................,"861,748","31,905","48,969","184,022","262,688","130,535","118,545"
Contributions:  Number........................................................,"173,185","11,279","14,316","43,680","55,425","24,570","17,799"
Amount.............................................................................,"476,490","15,798","21,093","63,277","98,829","60,970","73,339"
Taxable income:  Number........................................................,"634,371","226,512","115,679","145,804","90,611","29,528","19,795"
Amount.................................................................................,"16,927,130","1,030,964","1,564,110","3,637,432","3,848,654","1,858,030","2,020,359"
Total tax credits [8]:Number..................................................,"68,620","8,885","9,492","21,304","16,755","5,581","4,327"
Amount.................................................................................,"31,732","2,214","3,372","8,294","7,078","2,509","2,681"
Child care credit:  Number...................................................,"51,136","5,494","8,009","18,406","13,621","3,597","1,688"
Amount.............................................................................,"19,472","1,844","2,861","6,968","5,575","1,434",645
Earned income credit [9]:Number.........................................,"98,577","78,466","20,111",--,--,--,--
Amount.................................................................................,"136,999","122,263","14,735",--,--,--,--
Excess earned income credit (refundable) [10]:,,,,,,,
Number............................................................................,"73,467","67,474","5,993",--,--,--,--
Amount.............................................................................,"105,397","101,363","4,034",--,--,--,--
Income tax [11]:Number........................................................,"630,188","223,069","115,130","145,623","90,593","29,529","19,798"
Amount.................................................................................,"3,399,413","153,765","231,732","562,516","642,810","370,363","474,130"
Total tax liability [12]:Number................................................,"653,581","245,414","115,989","145,774","90,617","29,540","19,800"
Amount.................................................................................,"3,619,235","188,982","257,816","613,805","686,636","392,552","501,728"
Tax due at time of filing [13]:Number....................................,"222,543","73,355","32,066","52,059","36,144","14,538","10,483"
Amount.................................................................................,"598,734","34,230","35,169","86,608","95,013","60,968","91,045"
Overpayments [14]:Number..................................................,"507,949","262,890","81,731","89,406","51,305","13,550","7,548"
Amount.................................................................................,"548,783","224,232","75,042","96,873","76,291","28,201","28,526"
"Table 2.--Individual Income and Tax Data, by State and Size of Adjusted Gross Income, Tax Year 1996",,,,,,,
[Money amounts are in thousands of dollars],,,,,,,
,,,,,Size of adjusted gross income,,
State and item,All returns,Under,"$20,000 ","$30,000 ","$50,000 ","$75,000 ","$100,000 "
,,"$20,000 [1]",under,under,under,under,under
,,,"$30,000 ","$50,000 ","$75,000 ","$100,000 ","$200,000 "
,-1,-2,-3,-4,-5,-6,-7
NEVADA,,,,,,,
Number of returns....................................................................,"800,491","336,591","135,070","158,644","97,907","36,692","25,390"
Number of joint returns.........................................................,"309,728","50,654","40,430","81,537","76,310","31,628","21,204"
Number with paid preparer's signature................................,"379,505","137,277","58,690","79,058","55,034","22,392","17,995"
Number of exemptions [3]........................................................,"1,569,090","490,062","256,332","358,292","264,561","103,489","69,613"
Adjusted gross income (AGI) [4]..............................................,"32,413,136","2,806,009","3,317,020","6,189,013","5,940,341","3,132,943","3,321,948"
Salaries and wages in AGI:  Number...................................,"694,049","278,928","120,376","143,742","89,160","32,871","21,259"
Amount.............................................................................,"22,204,574","2,856,363","2,764,373","5,133,842","4,788,000","2,396,893","2,104,893"
Taxable interest:  Number....................................................,"366,929","96,845","52,160","85,091","69,264","30,586","23,110"
Amount.............................................................................,"1,373,365","200,695","81,060","135,243","144,175","93,855","161,266"
Tax-exempt interest [5]:Number........................................,"24,241","3,860","2,235","4,276","4,458","2,660","3,523"
Amount.............................................................................,"428,777","35,237","18,772","34,078","39,417","27,184","62,061"
Dividends:  Number..............................................................,"149,687","34,656","17,248","30,597","29,081","15,601","14,659"
Amount.............................................................................,"747,456","68,033","33,764","63,974","72,907","55,283","94,548"
Business or profession net income (less loss):,,,,,,,
Number............................................................................,"98,287","31,737","12,577","20,780","16,327","7,256","6,545"
Amount.............................................................................,"1,101,117","56,129","72,409","138,904","152,136","116,194","232,978"
Number of farm returns........................................................,"4,191","1,223",447,834,716,339,361
Net capital gain (less loss) in AGI:  Number........................,"129,460","29,660","14,077","25,122","24,529","13,488","14,296"
Amount.............................................................................,"2,979,249","99,639","22,404","58,375","97,262","90,683","230,412"
Taxable Individual Retirement Arrangements,,,,,,,
distributions [6]:  Number.................................................,"35,011","9,292","5,597","8,021","6,345","2,783","2,223"
Amount.............................................................................,"330,639","40,346","30,065","56,790","63,952","40,704","57,338"
Pensions and annuities in AGI:  Number.............................,"134,379","39,099","21,843","30,632","24,115","9,925","6,824"
Amount.............................................................................,"1,889,656","294,201","262,727","446,673","423,360","210,931","183,559"
Social Security benefits in AGI:  Number.............................,"51,420","1,335","8,708","18,413","12,438","4,738","3,980"
Amount.............................................................................,"339,610","4,819","15,231","86,133","113,559","49,661","46,044"
Total statutory adjustments:  Number..................................,"110,350","31,103","16,257","25,180","17,206","7,768","8,068"
Amount.............................................................................,"280,346","36,994","27,154","48,902","42,461","27,892","47,239"
Self-employment retirement plans [6]:  Number...............,"5,107",269,290,666,991,766,"1,285"
Amount.........................................................................,"45,735",686,983,"2,780","4,827","5,321","14,872"
Total itemized deductions [7]:Number...................................,"235,700","24,480","27,512","64,088","61,959","28,596","21,109"
Amount.................................................................................,"3,816,568","311,913","278,500","718,688","827,418","478,519","487,402"
Medical and dental expense:  Number.................................,"36,109","11,000","7,153","9,954","5,533","1,643",748
Amount.............................................................................,"166,559","65,335","26,308","35,958","21,253","8,818","6,991"
Taxes paid:  Number............................................................,"228,782","22,586","26,222","62,109","60,865","28,256","20,858"
Amount.............................................................................,"526,798","32,954","30,712","81,822","99,813","60,999","71,869"
Interest paid:  Number..........................................................,"214,000","20,154","23,807","58,199","58,141","27,019","19,551"
Amount.............................................................................,"2,041,999","164,927","159,447","428,261","491,162","265,316","253,520"
Contributions:  Number........................................................,"201,604","16,173","22,130","54,256","55,394","26,548","19,704"
Amount.............................................................................,"561,317","14,440","22,553","66,734","88,588","56,896","65,063"
Taxable income:  Number........................................................,"666,928","206,426","132,682","157,934","97,745","36,636","25,337"
Amount.................................................................................,"23,143,264","1,099,524","1,839,430","4,026,110","4,217,972","2,347,992","2,636,896"
Total tax credits [8]:Number..................................................,"55,011","8,178","8,462","13,491","12,415","5,625","4,123"
Amount.................................................................................,"47,811","2,795","3,997","6,374","6,167","3,185","3,631"
Child care credit:  Number...................................................,"42,595","5,959","7,625","11,894","10,509","4,294","1,988"
Amount.............................................................................,"20,000","2,433","3,757","5,601","4,979","2,107",956
Earned income credit [9]:Number.........................................,"117,550","94,769","22,781",--,--,--,--
Amount.................................................................................,"161,108","144,190","16,919",--,--,--,--
Excess earned income credit (refundable) [10]:,,,,,,,
Number............................................................................,"89,924","82,681","7,243",--,--,--,--
Amount.............................................................................,"127,503","122,386","5,117",--,--,--,--
Income tax [11]:Number........................................................,"663,393","203,482","132,193","157,832","97,729","36,639","25,341"
Amount.................................................................................,"5,259,760","166,875","272,588","642,782","732,503","476,257","628,765"
Total tax liability [12]:Number................................................,"679,351","218,420","132,881","158,080","97,777","36,650","25,360"
Amount.................................................................................,"5,437,655","192,338","288,395","673,151","763,485","496,463","658,260"
Tax due at time of filing [13]:Number....................................,"206,038","50,605","32,281","49,862","36,713","17,556","13,276"
Amount.................................................................................,"787,984","26,648","27,128","62,525","73,811","57,446","96,785"
Overpayments [14]:Number..................................................,"553,252","261,706","99,602","104,738","58,045","17,367","9,686"
Amount.................................................................................,"735,813","274,901","95,757","132,739","102,752","41,004","41,447"
"Table 2.--Individual Income and Tax Data, by State and Size of Adjusted Gross Income, Tax Year 1996",,,,,,,
[Money amounts are in thousands of dollars],,,,,,,
,,,,,Size of adjusted gross income,,
State and item,All returns,Under,"$20,000 ","$30,000 ","$50,000 ","$75,000 ","$100,000 "
,,"$20,000 [1]",under,under,under,under,under
,,,"$30,000 ","$50,000 ","$75,000 ","$100,000 ","$200,000 "
,-1,-2,-3,-4,-5,-6,-7
NEW HAMPSHIRE,,,,,,,
Number of returns....................................................................,"572,520","232,606","84,468","112,039","80,510","32,332","23,939"
Number of joint returns.........................................................,"248,553","32,127","26,464","65,755","68,020","28,978","21,466"
Number with paid preparer's signature................................,"202,492","64,574","26,469","43,293","34,392","14,692","13,636"
Number of exemptions [3]........................................................,"1,097,224","265,787","150,386","261,394","230,691","97,504","72,258"
Adjusted gross income (AGI) [4]..............................................,"22,685,678","1,903,932","2,085,344","4,397,167","4,900,851","2,763,269","3,126,090"
Salaries and wages in AGI:  Number...................................,"492,889","184,780","74,354","102,393","74,630","29,901","21,287"
Amount.............................................................................,"17,154,364","1,640,712","1,692,753","3,649,198","4,084,403","2,257,390","2,248,244"
Taxable interest:  Number....................................................,"372,870","104,858","49,087","85,002","72,691","31,143","23,513"
Amount.............................................................................,"718,365","123,686","65,047","107,168","106,763","66,171","94,867"
Tax-exempt interest [5]:Number........................................,"23,538","3,551","1,886",,"39,544,381","2,899","4,134"
Amount.............................................................................,"223,617","14,612","8,440","21,397","26,168","20,707","43,234"
Dividends:  Number..............................................................,"146,956","36,017","14,805","28,368","29,575","16,662","15,934"
Amount.............................................................................,"589,999","57,776","31,844","64,672","79,063","58,457","109,561"
Business or profession net income (less loss):,,,,,,,
Number............................................................................,"90,348","28,314","12,158","20,253","15,481","6,390","5,747"
Amount.............................................................................,"1,112,775","124,035","102,946","199,726","195,115","117,488","209,900"
Number of farm returns........................................................,"2,155",703,260,,437323,175,165
Net capital gain (less loss) in AGI:  Number........................,"118,811","27,705","11,321","22,106","23,437","13,944","14,747"
Amount.............................................................................,"1,467,126","44,094","21,664","54,646","86,744","79,999","189,697"
Taxable Individual Retirement Arrangements,,,,,,,
distributions [6]:  Number.................................................,"28,889","8,886","4,534",,"61,484,929","2,107","1,809"
Amount.............................................................................,"222,691","33,857","22,400","38,053","43,064","27,218","38,926"
Pensions and annuities in AGI:  Number.............................,"85,570","27,672","13,148","18,049","14,512","6,013","4,884"
Amount.............................................................................,"1,048,875","183,881","143,086","229,330","217,383","108,680","118,833"
Social Security benefits in AGI:  Number.............................,"34,526",864,"5,857","12,392","8,350","3,114","2,918"
Amount.............................................................................,"243,149","2,639","10,164","60,451","82,347","36,086","36,835"
Total statutory adjustments:  Number..................................,"101,293","28,752","14,782","24,052","16,072","7,028","7,402"
Amount.............................................................................,"237,381","30,625","23,746","44,902","40,564","25,357","43,448"
Self-employment retirement plans [6]:  Number...............,"6,611",346,381,"1,028","1,536","1,046","1,563"
Amount.........................................................................,"45,206",678,982,"3,358","6,357","6,165","16,223"
Total itemized deductions [7]:Number...................................,"182,017","14,524","15,417","44,193","53,766","27,042","21,468"
Amount.................................................................................,"2,636,684","185,425","156,696","480,548","690,709","424,693","439,657"
Medical and dental expense:  Number.................................,"25,930","8,412","4,964","7,037","3,737","1,118",572
Amount.............................................................................,"138,788","46,506","23,149","28,974","19,320","8,131","8,850"
Taxes paid:  Number............................................................,"180,934","13,809","15,166","44,029","53,766","27,056","21,469"
Amount.............................................................................,"961,863","68,803","49,124","160,505","245,036","158,206","167,277"
Interest paid:  Number..........................................................,"161,845","10,141","12,810","39,900","50,215","24,987","19,092"
Amount.............................................................................,"1,172,208","56,181","65,332","228,738","336,570","195,365","192,662"
Contributions:  Number........................................................,"159,253","9,548","12,030","37,371","48,671","25,571","20,587"
Amount.............................................................................,"282,829","7,684","10,464","34,392","54,738","40,486","54,439"
Taxable income:  Number........................................................,"485,717","147,709","83,115","111,624","80,418","32,308","23,921"
Amount.................................................................................,"16,012,048","719,879","1,199,649","2,859,417","3,453,220","2,057,415","2,490,327"
Total tax credits [8]:Number..................................................,"41,161","4,345","4,041","9,155","11,205","5,335","4,759"
Amount.................................................................................,"24,806","1,035","1,505","3,674","5,084","2,443","3,219"
Child care credit:  Number...................................................,"27,641","2,292","3,158","7,214","8,878","3,687","2,116"
Amount.............................................................................,"11,885",833,"1,300","2,913","3,991","1,704",987
Earned income credit [9]:Number.........................................,"58,305","46,545","11,760",--,--,--,--
Amount.................................................................................,"75,101","66,843","8,257",--,--,--,--
Excess earned income credit (refundable) [10]:,,,,,,,
Number............................................................................,"41,324","38,358","2,966",--,--,--,--
Amount.............................................................................,"54,893","53,011","1,882",--,--,--,--
Income tax [11]:Number........................................................,"483,990","146,223","82,938","111,565","80,407","32,311","23,925"
Amount.................................................................................,"3,362,722","108,064","178,907","453,847","588,183","413,753","588,979"
Total tax liability [12]:Number................................................,"497,257","158,728","83,518","111,715","80,426","32,317","23,930"
Amount.................................................................................,"3,534,863","134,395","197,381","489,568","622,520","432,314","614,394"
Tax due at time of filing [13]:Number....................................,"143,517","40,301","17,549","29,827","25,734","14,157","12,013"
Amount.................................................................................,"441,195","21,767","18,388","41,529","49,796","39,528","71,099"
Overpayments [14]:Number..................................................,"399,564","175,663","64,405","78,861","52,174","16,850","10,077"
Amount.................................................................................,"504,737","145,540","63,508","106,001","93,988","38,461","37,351"
"Table 2.--Individual Income and Tax Data, by State and Size of Adjusted Gross Income, Tax Year 1996",,,,,,,
[Money amounts are in thousands of dollars],,,,,,,
,,,,,Size of adjusted gross income,,
State and item,All returns,Under,"$20,000 ","$30,000 ","$50,000 ","$75,000 ","$100,000 "
,,"$20,000 [1]",under,under,under,under,under
,,,"$30,000 ","$50,000 ","$75,000 ","$100,000 ","$200,000 "
,-1,-2,-3,-4,-5,-6,-7
NEW JERSEY,,,,,,,
Number of returns....................................................................,"3,817,966","1,476,076","520,138","697,549","529,718","269,370","247,749"
Number of joint returns.........................................................,"1,506,594","197,486","134,149","282,075","371,160","230,340","222,090"
Number with paid preparer's signature................................,"1,731,279","573,679","204,401","314,622","277,505","148,262","150,621"
Number of exemptions [3]........................................................,"7,412,809","1,854,815","944,927","1,440,651","1,389,037","790,487","753,142"
Adjusted gross income (AGI) [4]..............................................,"178,847,267","12,209,875","12,878,708","27,285,486","32,476,970","23,157,678","32,534,574"
Salaries and wages in AGI:  Number...................................,"3,211,990","1,099,576","448,568","626,148","486,828","251,662","230,075"
Amount.............................................................................,"135,961,097","9,700,735","10,267,341","22,408,135","26,817,002","19,315,738","25,742,857"
Taxable interest:  Number....................................................,"2,462,810","675,975","286,918","494,026","450,133","246,363","234,250"
Amount.............................................................................,"6,094,104","1,005,479","496,579","831,794","867,296","552,482","809,533"
Tax-exempt interest [5]:Number........................................,"229,190","32,526","15,900","33,559","40,040","28,315","45,861"
Amount.............................................................................,"2,419,359","151,311","82,181","219,113","323,925","213,668","408,589"
Dividends:  Number..............................................................,"1,151,898","279,132","97,907","191,807","211,798","139,665","165,526"
Amount.............................................................................,"4,319,209","455,842","238,112","473,557","576,988","436,054","783,894"
Business or profession net income (less loss):,,,,,,,
Number............................................................................,"453,485","128,226","47,310","81,027","79,535","46,291","51,759"
Amount.............................................................................,"6,689,776","579,462","424,843","775,091","854,049","687,233","1,550,521"
Number of farm returns........................................................,"9,201","2,070",837,,"15,641,740","1,020","1,209"
Net capital gain (less loss) in AGI:  Number........................,"863,986","196,286","67,389","137,115","155,677","106,194","138,246"
Amount.............................................................................,"8,135,280","260,385","96,660","246,125","407,093","407,550","1,079,652"
Taxable Individual Retirement Arrangements,,,,,,,
distributions [6]:  Number.................................................,"210,618","60,948","31,042","42,054","36,659","18,423","16,801"
Amount.............................................................................,"1,736,573","235,004","158,242","268,784","325,533","220,985","331,181"
Pensions and annuities in AGI:  Number.............................,"633,082","205,782","88,380","121,004","104,464","53,191","47,232"
Amount.............................................................................,"7,726,326","1,349,896","948,078","1,539,274","1,576,865","918,890","989,414"
